,Region,District,FacilityName,Type,Town,Ownership,Latitude,Longitude,Country
210,Greater Accra,Accra Metropolitan,Kpeshie Sub Metro Health Directorate,District Health Centre,La,Private,5.55538,-0.16657,Ghana
211,Greater Accra,Accra Metropolitan,Kumorji Hospital,Hospital,Cantoments,Private,5.57419,-0.18263,Ghana
212,Greater Accra,Accra Metropolitan,La General Hospital,Hospital,La,Government,5.55538,-0.16657,Ghana
213,Greater Accra,Accra Metropolitan,Labadi Road Dental Clinic,Clinic,Osu,Private,5.55265,-0.17742,Ghana
214,Greater Accra,Accra Metropolitan,Lagoon Clinic,Clinic,Chemuna (Chorkor),Private,5.52568,-0.25025,Ghana
215,Greater Accra,Tema Metropolitan,Lagoon Clinic,Clinic,Tema Community 1,Private,5.64767,-0.00154,Ghana
216,Greater Accra,Accra Metropolitan,Lagoon Clinic & Maternity home,Maternity Home,Mpoase (off Glefe rd),Private,5.52397,-0.26406,Ghana
217,Greater Accra,Accra Metropolitan,Lakeside Clinic,Hospital,Tesano,Private,5.5923,-0.23136,Ghana
218,Greater Accra,Accra Metropolitan,Lapaz Community Clinic,Hospital,Abaka Lapas,Private,5.60851,-0.25349,Ghana
219,Greater Accra,Accra Metropolitan,Laura's Maternity Home & Clinic,Maternity Home,Darkuman,Private,5.58704,-0.24794,Ghana
220,Greater Accra,Tema Metropolitan,Leister Medical Centre,Clinic,Spintex road,Private,5.61916,-0.1461,Ghana
221,Greater Accra,Accra Metropolitan,Link Road Hospital,Hospital,Lartebiokorshie,Private,5.54944,-0.24093,Ghana
222,Greater Accra,Tema Metropolitan,Lube Oil Clinic,Clinic,Tema Heavy Industrial Town,Government,5.65042,0.00836,Ghana
223,Greater Accra,Accra Metropolitan,Maamobi Polyclinic,Polyclinic,Maamobi,Private,5.59184,-0.19929,Ghana
224,Greater Accra,Accra Metropolitan,Mega Care Clinic (Annex),Clinic,Abossey Okai,Private,5.55952,-0.23308,Ghana
225,Greater Accra,Accra Metropolitan,Liha Medical Clinic,Clinic,East Legon (before America house road),Private,5.64174,-0.16071,Ghana
226,Greater Accra,Accra Metropolitan,Maabs Dental Clinic,Clinic,Osu,Private,5.55982,-0.17441,Ghana
227,Greater Accra,Accra Metropolitan,Megavest Medical Centre,Hospital,North Kaneshie,Private,5.59342,-0.24423,Ghana
228,Greater Accra,Tema Metropolitan,Lebanon Clinic,Clinic,Ashaiman,Private,5.68791,-0.03049,Ghana
229,Greater Accra,Accra Metropolitan,Lession Clinic,Clinic,Nima,Private,5.58208,-0.20114,Ghana
230,Greater Accra,Accra Metropolitan,Limb Fitting Centre,Others,Tema Station (near Lotteries),Government,5.5485,-0.19999,Ghana
231,Greater Accra,Accra Metropolitan,Mab Medicare Centre,Hospital,Nyamekye (Darkuman),Private,5.59958,-0.25417,Ghana
232,Greater Accra,Ga East,Madina RCH Clinic (near Market),Clinic,Madina (Old road),Private,5.6788,-0.16751,Ghana
233,Greater Accra,Accra Metropolitan,Larkai Medical Centre,Clinic,Nima (near Police station),Private,5.576,-0.19972,Ghana
234,Greater Accra,Accra Metropolitan,Life Line Clinic,Clinic,Nima 441 (area near bridge),Private,5.5882,-0.19478,Ghana
235,Greater Accra,Accra Metropolitan,Living Clinic & Laboratory,Clinic,Agbogbloshie,Private,5.55032,-0.2167,Ghana
236,Greater Accra,Ga West,Lizzie Matternity Home & Clinic,Maternity Home,Ofankor,Private,5.65484,-0.27076,Ghana
237,Greater Accra,Ga East,Madina Central Clinic,Clinic,Madina (Old road),Private,5.66759,-0.16516,Ghana
238,Greater Accra,Accra Metropolitan,Makola Government Clinic,Clinic,Makola,Private,5.54857,-0.20599,Ghana
239,Greater Accra,Accra Metropolitan,Makola Plaza Clinic,Clinic,Makola,Private,5.54672,-0.20603,Ghana
